date,product,units,unit_price
2024-01-01,Alpha,120,19.99
2024-01-01,Beta,90,24.99
2024-01-01,Gamma,60,14.99
2024-02-01,Alpha,130,19.99
2024-02-01,Beta,85,24.99
2024-02-01,Gamma,72,14.99
2024-03-01,Alpha,150,19.99
2024-03-01,Beta,92,24.99
2024-03-01,Gamma,78,14.99
2024-04-01,Alpha,160,19.99
2024-04-01,Beta,95,24.99
2024-04-01,Gamma,80,14.99
2024-05-01,Alpha,170,19.99
2024-05-01,Beta,100,24.99
2024-05-01,Gamma,85,14.99
2024-06-01,Alpha,165,19.99
2024-06-01,Beta,98,24.99
2024-06-01,Gamma,90,14.99
2024-07-01,Alpha,180,19.99
2024-07-01,Beta,110,24.99
2024-07-01,Gamma,95,14.99
2024-08-01,Alpha,190,19.99
2024-08-01,Beta,115,24.99
2024-08-01,Gamma,100,14.99
2024-09-01,Alpha,200,19.99
2024-09-01,Beta,118,24.99
2024-09-01,Gamma,102,14.99
2024-10-01,Alpha,210,19.99
2024-10-01,Beta,120,24.99
2024-10-01,Gamma,105,14.99
2024-11-01,Alpha,220,19.99
2024-11-01,Beta,130,24.99
2024-11-01,Gamma,110,14.99
2024-12-01,Alpha,240,19.99
2024-12-01,Beta,140,24.99
2024-12-01,Gamma,120,14.99















